,title,salary,link,site
54,Python программист,"{'min_salary': 100000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48087914?from=vacancy_search_list&query=Python,https://hh.ru
55,Backend разработчик на python,"{'min_salary': 80000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47765869?from=vacancy_search_list&query=Python,https://hh.ru
56,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48453683?from=vacancy_search_list&query=Python,https://hh.ru
57,Python разработчик (middle +),"{'min_salary': 120000, 'max_salary': 180000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48107880?from=vacancy_search_list&query=Python,https://hh.ru
58,Data Scientist,"{'min_salary': 60000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48279098?from=vacancy_search_list&query=Python,https://hh.ru
59,Разработчик внутренней автоматизации (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48405072?from=vacancy_search_list&query=Python,https://hh.ru
60,Senior Machine Learning Engineer (remote),"{'min_salary': 400000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48124081?from=vacancy_search_list&query=Python,https://hh.ru
61,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46705549?from=vacancy_search_list&query=Python,https://hh.ru
62,Python разработчик,"{'min_salary': 1500, 'max_salary': 2000, 'currency': 'EUR'}",https://spb.hh.ru/vacancy/48378680?from=vacancy_search_list&query=Python,https://hh.ru
63,Python-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46558794?from=vacancy_search_list&query=Python,https://hh.ru
64,Python Developer,"{'min_salary': 2300, 'max_salary': 3100, 'currency': 'USD'}",https://spb.hh.ru/vacancy/42992983?from=vacancy_search_list&query=Python,https://hh.ru
65,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47769516?from=vacancy_search_list&query=Python,https://hh.ru
66,Python разработчик (Middle),"{'min_salary': 140000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47016117?from=vacancy_search_list&query=Python,https://hh.ru
67,Программист - Python Middle,"{'min_salary': 60000, 'max_salary': 120000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47685752?from=vacancy_search_list&query=Python,https://hh.ru
68,Python разработчик (удаленно),"{'min_salary': 120000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47971499?from=vacancy_search_list&query=Python,https://hh.ru
69,Разработчик NLP / NLU - Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48371517?from=vacancy_search_list&query=Python,https://hh.ru
70,Разработчик NLP / NLU - Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48373500?from=vacancy_search_list&query=Python,https://hh.ru
71,Backend - разработчик (Python),"{'min_salary': 120000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/43615645?from=vacancy_search_list&query=Python,https://hh.ru
72,Middle Data Engineer / Python разработчик,"{'min_salary': 90000, 'max_salary': 160000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48091756?from=vacancy_search_list&query=Python,https://hh.ru
73,Backend-разработчик (Python),"{'min_salary': 70000, 'max_salary': 140000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/46666248?from=vacancy_search_list&query=Python,https://hh.ru
74,Python Developer,"{'min_salary': 'not salary', 'max_salary': 350000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48430593?from=vacancy_search_list&query=Python,https://hh.ru
75,"Python Django разработчик, удаленно","{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47600593?from=vacancy_search_list&query=Python,https://hh.ru
76,Backend-разработчик / Python developer (умные дома),"{'min_salary': 100000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48381016?from=vacancy_search_list&query=Python,https://hh.ru
77,Ведущий Python-разработчик,"{'min_salary': 70000, 'max_salary': 130000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48395103?from=vacancy_search_list&query=Python,https://hh.ru
78,Разработчик Python (backend),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48442534?from=vacancy_search_list&query=Python,https://hh.ru
79,Senior QA Automation Engineer (Python),"{'min_salary': 300000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/45114743?from=vacancy_search_list&query=Python,https://hh.ru
80,Backend Разработчик (PYTHON),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47640993?from=vacancy_search_list&query=Python,https://hh.ru
81,Data scientist,"{'min_salary': 200000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48276976?from=vacancy_search_list&query=Python,https://hh.ru
82,Руководитель разработки платформы (Python),"{'min_salary': 250000, 'max_salary': 320000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47938157?from=vacancy_search_list&query=Python,https://hh.ru
83,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47862885?from=vacancy_search_list&query=Python,https://hh.ru
